tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-3125,Roehampton 2,Hard,32,C,O,20260824,1,L0CF,,,George Loffhagen,R,188,GBR,25.347,493,89,G0AO,3,,Alastair Gray,R,193,GBR,28.172,278,198,6-2 7-6(4),3,R32,102,7,4,60,37,29,14,10,2,3,3,3,71,45,31,10,10,6,9
2026-3125,Roehampton 2,Hard,32,C,O,20260824,2,H0JL,8,,Jay Friend,R,185,JPN,22.672,312,176,GG65,,,Michael Geerts,R,178,BEL,31.6,328,164,6-3 6-4,3,R32,75,7,1,62,41,28,14,10,1,2,1,4,51,23,19,11,9,2,5
2026-3125,Roehampton 2,Hard,32,C,O,20260824,3,B0VF,,,Oliver Bonding,R,193,,19.184,932,23,DC76,,,Viktor Durasovic,R,185,NOR,29.432,435,106,6-3 6-4,3,R32,77,5,2,65,32,24,18,10,2,3,6,2,46,29,17,10,9,3,6
2026-3125,Roehampton 2,Hard,32,C,O,20260824,4,B0NV,,,Patrick Brady,R,188,GBR,21.774,762,38,Z09F,,,Patrick Zahraj,R,191,GER,27.105,407,119,6-3 6-2,3,R32,67,0,1,41,29,21,9,9,2,4,0,8,50,29,15,8,8,2,7
2026-3125,Roehampton 2,Hard,32,C,O,20260824,5,D0D2,,,Alec Deckers,R,193,NED,26.311,550,72,P0B2,,,Luca Potenza,R,175,ITA,26.073,481,92,7-6(6) 6-3,3,R32,93,20,1,62,47,41,6,11,0,1,3,2,67,41,29,12,10,1,3
2026-3125,Roehampton 2,Hard,32,C,O,20260824,6,H0EK,,,Emile Hudd,R,193,GBR,26.242,463,97,A0F3,,,Fabrizio Andaloro,R,185,ITA,25.561,526,79,6-2 4-6 6-3,3,R32,138,4,1,82,57,31,12,14,6,12,4,2,98,59,31,14,13,4,12
2026-3125,Roehampton 2,Hard,32,C,O,20260824,7,M0FA,,,Anton Matusevich,R,185,GBR,25.235,337,160,BU53,,,Constantin Bittoun Kouzmine,L,178,FRA,27.636,421,113,6-3 3-6 6-2,3,R32,113,4,5,83,49,36,18,13,2,5,1,1,79,54,34,12,13,3,8
2026-3125,Roehampton 2,Hard,32,C,O,20260824,8,M0NL,,,Inaki Montes-De La Torre,R,178,ESP,23.89,276,200,B0C0,,,Adrian Boitan,R,185,ROU,27.121,483,91,3-6 6-3 6-3,3,R32,149,6,4,68,45,35,12,13,1,4,7,9,112,69,43,17,14,11,16
2026-3125,Roehampton 2,Hard,32,C,O,20260824,9,R0JW,2,,Michele Ribecai,R,173,ITA,23.551,274,202,C0RO,,,Mark Ceban,,,GBR,17.448,1221,9,6-1 6-2,3,R32,63,4,1,51,35,24,10,8,3,4,0,2,40,25,10,5,7,1,6
2026-3125,Roehampton 2,Hard,32,C,O,20260824,10,MW76,5,,Matteo Martineau,R,183,FRA,27.603,284,195,B0OI,,,Billy Blaydes,,,GBR,22.708,1086,14,6-3 4-6 6-1,3,R32,128,5,0,73,49,37,12,13,4,7,6,2,98,55,35,16,13,10,16
2026-3125,Roehampton 2,Hard,32,C,O,20260824,11,M0ON,7,,Johannus Monday,L,198,GBR,24.586,310,177,R0IL,,,Iliyan Radulov,R,187,BUL,21.202,585,64,6-7(0) 6-4 6-1,3,R32,112,15,1,80,60,46,13,14,1,1,3,4,80,48,36,18,15,2,6
2026-3125,Roehampton 2,Hard,32,C,O,20260824,12,I0BF,,,Ivan Ivanov,R,,BUL,17.815,530,78,PH78,,,Ryan Peniston,L,180,GBR,30.787,443,103,6-0 3-6 6-4,3,R32,120,1,1,81,52,32,17,13,6,9,1,2,80,51,30,13,12,6,11
2026-3125,Roehampton 2,Hard,32,C,O,20260824,13,M0NJ,,,Lui Maxted,R,180,GBR,22.727,373,134,S0NT,,,Anton Shepp,R,185,NZL,23.817,484,91,6-3 6-3,3,R32,88,3,1,65,42,29,16,9,5,5,4,2,58,33,23,11,9,3,6
2026-3125,Roehampton 2,Hard,32,C,O,20260824,14,B0JE,1,,Max Basing,R,180,GBR,23.893,264,212,LI10,,,Christian Langmo,R,191,USA,30.229,461,99,6-3 6-4,3,R32,82,0,3,58,35,28,14,10,0,0,6,1,59,42,28,8,9,4,6
2026-3125,Roehampton 2,Hard,32,C,O,20260824,15,T0GR,,,Oliver Tarvet,R,185,GBR,22.82,346,153,P0DF,4,,Matheus Pucinelli De Almeida,R,183,BRA,25.396,252,219,6-4 6-4,3,R32,108,5,0,59,42,32,9,10,0,1,1,3,70,49,31,9,10,4,7
2026-3125,Roehampton 2,Hard,32,C,O,20260824,16,BV21,6,,Charles Broom,R,178,GBR,28.334,280,197,R0H6,,,Leonardo Rossi,R,180,ITA,24.052,600,62,6-4 6-1,3,R32,71,1,0,44,26,20,12,8,1,2,2,4,53,25,13,11,9,1,6
2026-3125,Roehampton 2,Hard,32,C,O,20260824,17,B0JE,1,,Max Basing,R,180,GBR,23.893,264,212,D0D2,,,Alec Deckers,R,193,NED,26.311,550,72,7-6(3) 0-6 6-4,3,R16,130,1,0,93,63,42,17,14,6,10,9,3,80,45,34,19,14,2,4
2026-3125,Roehampton 2,Hard,32,C,O,20260824,18,R0JW,2,,Michele Ribecai,R,173,ITA,23.551,274,202,M0FA,,,Anton Matusevich,R,185,GBR,25.235,337,160,6-7(3) 6-3 6-3,3,R16,154,3,1,103,63,44,14,15,4,7,10,5,108,62,41,19,15,8,14
2026-3125,Roehampton 2,Hard,32,C,O,20260824,19,H0EK,,,Emile Hudd,R,193,GBR,26.242,463,97,MW76,5,,Matteo Martineau,R,183,FRA,27.603,284,195,4-6 6-3 6-2,3,R16,122,10,2,81,56,39,16,14,3,4,8,2,86,58,43,12,13,7,10
2026-3125,Roehampton 2,Hard,32,C,O,20260824,20,BV21,6,,Charles Broom,R,178,GBR,28.334,280,197,B0NV,,,Patrick Brady,R,188,GBR,21.774,762,38,6-4 6-1,3,R16,75,3,0,60,38,28,12,8,1,1,3,1,47,33,21,8,9,4,8
2026-3125,Roehampton 2,Hard,32,C,O,20260824,21,M0ON,7,,Johannus Monday,L,198,GBR,24.586,310,177,M0NJ,,,Lui Maxted,R,180,GBR,22.727,373,134,1-6 6-3 7-6(2),3,R16,125,11,3,75,47,36,17,14,1,4,10,3,88,65,45,11,14,1,3
